"","position","player","team","age","total_value","avg_year","total_guaranteed","fully_guaranteed","agency_time","type"
"1502","4-3-defensive-end","Dorance Armstrong Jr.","Cowboys",22,3129992,782498,669992,669992,2022,"UFA"
"1503","4-3-defensive-end","Kentavius Street","49ers",22,3070200,767550,610200,610200,2022,"RFA"
"1504","4-3-defensive-end","Josh Sweat","Eagles",22,3057592,764398,597592,597592,2022,"UFA"
"1505","4-3-defensive-end","Carl Lawson","Bengals",24,3052620,763155,652620,652620,2021,"UFA"
"1506","left-tackle","Sam Tevi","Chargers",25,2561804,640451,161804,161804,2021,"UFA"
"1507","left-tackle","Jordan Mailata","Eagles",22,2549392,637348,89392,89392,2022,"UFA"
"1508","left-tackle","Korey Cunningham","Cardinals",24,2529072,632268,69072,69072,2022,"UFA"
"1509","left-tackle","De¡¯Ondre Wesley","Bills",27,1230000,615000,0,0,2021,"UFA"
"1510","left-tackle","Dieugot Joseph","Falcons",25,1230000,615000,0,0,2021,"ERFA"
"1511","left-tackle","David Sharpe","Raiders",24,1200000,600000,0,0,2020,"RFA"
"1512","left-tackle","Mitch Hyatt","Cowboys",26.0725216234198,1775000,591667,150000,150000,2022,"RFA"
"1513","left-tackle","Paul Adams","Giants",24,1765000,588333,80000,80000,2022,"RFA"
"1514","offensive-line","Morgan Moses","Redskins",28,40000000,8000000,20000000,14047000,2023,"UFA"
"1515","offensive-line","Bobby Massie","Bears",30,32000000,8000000,15800000,15800000,2023,"Void"
"1516","offensive-line","La¡¯el Collins","Cowboys",26,15400000,7700000,15400000,9500000,2020,"UFA"
"1517","offensive-line","Mike Pouncey","Chargers",30,15000000,7500000,10000000,10000000,2020,"UFA"
"1518","offensive-line","Matt Kalil","Texans",30,7500000,7500000,2250000,2250000,2020,"UFA"
"1519","offensive-line","Chris Hubbard","Browns",28,36500000,7300000,15150000,9000000,2023,"UFA"
"1520","offensive-line","Brian Winters","Jets",28,29000000,7250000,15000000,15000000,2021,"UFA"
"1521","edge-rusher","Ryan Anderson","Redskins",25,5324722,1331181,3184557,3184557,2021,"UFA"
"1522","edge-rusher","Kemoko Turay","Colts",24,5218404,1304601,3072404,3072404,2022,"UFA"
"1523","edge-rusher","Shane Ray","Ravens",26,1200000,1200000,200000,200000,2020,"UFA"
"1524","edge-rusher","Benson Mayowa","Raiders",28,1100000,1100000,750000,750000,2020,"UFA"
"1525","edge-rusher","Tyquan Lewis","Colts",24,4366054,1091514,1993126,1993126,2022,"UFA"
"1526","right-guard","Fred Johnson","Steelers",22,1770000,590000,15000,15000,2022,"RFA"
"1527","right-guard","Malcolm Pridgeon","Texans",24,1763000,587667,40000,40000,2022,"RFA"
"1528","right-guard","O¡¯Shea Dugas","Bengals",26.0725216234198,1760500,586833,5500,5500,2022,"RFA"
"1529","right-guard","Larry Allen, Jr.","Cowboys",26.0725216234198,1760000,586667,5000,5000,2022,"RFA"
"1530","right-guard","Blake Blackmar","Bears",24,1757500,585833,2500,2500,2022,"RFA"
"1531","right-guard","Joe Lowery","Bears",23,1757000,585833,5000,5000,2022,"RFA"
"1532","center","Adam Redmond","Cowboys",26,1206000,603000,6000,6000,2020,"ERFA"
"1533","center","Willie Wright","Browns",23,1770000,590000,25000,25000,2022,"RFA"
"1534","center","Tyler Gauthier","Patriots",22,1765000,588333,70000,70000,2022,"RFA"
"1535","center","James O¡¯Hagan","Giants",23,1760000,586667,35000,35000,2022,"RFA"
"1536","center","Sam Mustipher","Bears",23,1758500,586167,11000,11000,2022,"RFA"
"1537","center","John Keenoy","Vikings",22,1757500,585833,2500,2500,2022,"RFA"
"1538","center","Chandler Miller","Falcons",26.0725216234198,1757000,585667,2000,2000,2022,"RFA"
"1539","center","Toa Lobendahn","Jets",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1540","4-3-defensive-end","Fadol Brown","Packers",26,570000,570000,0,0,2020,"ERFA"
"1541","4-3-defensive-end","Jordan Williams","Giants",26,570000,570000,0,0,2020,"ERFA"
"1542","4-3-defensive-end","JoJo Wicker","Redskins",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"1543","4-3-defensive-end","Lavon Hooks","Steelers",27,495000,495000,0,0,2020,"ERFA"
"1544","4-3-defensive-end","Conor Sheehy","Steelers",26.0725216234198,495000,495000,0,0,2020,"ERFA"
"1545","4-3-defensive-end","Greg Gilmore","Steelers",26.0725216234198,495000,495000,0,0,2020,"ERFA"
"1546","4-3-defensive-end","Henry Mondeaux","Steelers",26.0725216234198,495000,495000,0,0,2020,"ERFA"
"1547","4-3-defensive-end","Casey Sayles","Steelers",24,495000,495000,0,0,2020,"ERFA"
"1548","interior-defensive-line","Rodney Gunter","Cardinals",26,1750000,1750000,1600000,1600000,2020,"UFA"
"1549","interior-defensive-line","Chris Jones","Chiefs",25,6231240,1557810,3890050,3890050,2020,"UFA"
"1550","interior-defensive-line","Austin Johnson","Titans",30,5662228,1415557,3475358,3475358,2020,"UFA"
"1551","interior-defensive-line","Josh Mauro","Raiders",28,1400000,1400000,400000,400000,2020,"UFA"
"1552","linebacker","Dekoda Watson","Broncos",31,5000000,1666667,1000000,1000000,2020,"UFA"
"1553","linebacker","Jaylon Smith","Cowboys",24,6494972,1623743,4523682,4523682,2020,"RFA"
"1554","linebacker","Myles Jack","Jaguars",24,6334438,1583610,3994793,3994793,2020,"UFA"
"1555","linebacker","Mark Nzeocha","49ers",29,4750000,1583333,1925000,1250000,2022,"UFA"
"1556","linebacker","Ray-Ray Armstrong","Browns",28,1550000,1550000,400000,400000,2020,"UFA"
"1557","linebacker","Nick Dzubnar","Chargers",28,3050000,1525000,795000,795000,2020,"UFA"
"1558","linebacker","Neville Hewitt","Jets",26,1500000,1500000,500000,500000,2020,"UFA"
"1559","linebacker","Zach Brown","Eagles",30,1500000,1500000,1400000,1400000,2020,"UFA"
"1560","4-3-defensive-tackle","Grover Stewart","Colts",26,2534348,633587,0,0,2021,"UFA"
"1561","4-3-defensive-tackle","Kapron Lewis-Moore","49ers",29,1230000,615000,0,0,2021,"UFA"
"1562","4-3-defensive-tackle","Devaroe Lawrence","Browns",27,1230000,615000,0,0,2021,"ERFA"
"1563","4-3-defensive-tackle","Jamiyus Pittman","Dolphins",25,1230000,615000,0,0,2021,"ERFA"
"1564","4-3-defensive-tackle","Ifeadi Odenigbo","Vikings",25,1230000,615000,0,0,2021,"ERFA"
"1565","4-3-defensive-tackle","Vincent Valentine","Cardinals",25,1200000,600000,0,0,2020,"RFA"
"1566","4-3-defensive-tackle","Treyvon Hester","Eagles",27,1200000,600000,0,0,2020,"RFA"
"1567","4-3-defensive-tackle","Iseoluwapo Jegede","Colts",25,1775000,591667,20000,20000,2022,"RFA"
"1568","defensive-line","Taco Charlton","Cowboys",25,10028638,2507160,8654097,8654097,2021,"UFA"
"1569","defensive-line","Steve McLendon","Jets",33,2500000,2500000,2250000,750000,2020,"UFA"
"1570","defensive-line","Mike Pennel","Patriots",28,5000000,2500000,500000,500000,2021,"UFA"
"1571","defensive-line","Zach Kerr","Broncos",29,5000000,2500000,600000,600000,2021,"UFA"
"1572","defensive-line","Jack Crawford","Falcons",31,9900000,2475000,3000000,3000000,2020,"UFA"
"1573","defensive-line","Arik Armstead","49ers",26,9842628,2460657,9842628,9842628,2020,"UFA"
"1574","long-snapper","Trent Sieg","Raiders",24,570000,570000,0,0,2020,"ERFA"
"1575","long-snapper","Thomas Hennessy","Jets",25,1665000,555000,0,0,2020,"RFA"
"1576","long-snapper","Zach Triner","Buccaneers",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"1577","long-snapper","Drew Scott","Cowboys",24,1080000,540000,0,0,2021,"ERFA"
"1578","long-snapper","Andrew East","Redskins",28,1050000,525000,0,0,2020,"ERFA"
"1579","left-guard","Zack Bailey","Buccaneers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1580","left-guard","Chris Brown","Chargers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1581","left-guard","Ryan Bates","Eagles",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1582","left-guard","Iosua Opeta","Eagles",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1583","left-guard","Chandler Brewer","Rams",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1584","left-guard","Deion Calhoun","Dolphins",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1585","left-guard","Nico Falah","Broncos",24,1738235,579412,28235,28235,2021,"RFA"
"1586","left-guard","Brendan Mahon","Panthers",24,1722500,574167,12500,12500,2021,"RFA"
"1587","left-guard","Nick Gates","Giants",24,1715000,571667,25000,25000,2021,"RFA"
"1588","kicker","Chandler Catanzaro","Jets",28,2300000,2300000,600000,500000,2020,"UFA"
"1589","kicker","Greg Zuerlein","Rams",32,6750000,2250000,2375000,2375000,2020,"UFA"
"1590","kicker","Randy Bullock","Bengals",30,4205000,2102500,750000,750000,2021,"UFA"
"1591","kicker","Elliot Fry","Bears",25,1755000,1755000,0,0,2022,"RFA"
"1592","kicker","Cairo Santos","Buccaneers",28,1000000,1000000,195000,195000,2020,"UFA"
"1593","kicker","Dan Bailey","Vikings",31,1000000,1000000,250000,250000,2020,"UFA"
"1594","kicker","Matt Gay","Buccaneers",25,2845772,711443,325772,325772,2023,"UFA"
"1595","wide-receiver","Tyrell Williams","Raiders",27,44400000,11100000,22000000,10000000,2023,"UFA"
"1596","wide-receiver","Emmanuel Sanders","Broncos",32,33000000,11000000,26900000,20000000,2020,"UFA"
"1597","wide-receiver","Larry Fitzgerald","Cardinals",36,11000000,11000000,11000000,11000000,2020,"UFA"
"1598","wide-receiver","Tyler Lockett","Seahawks",27,31800000,10600000,20000000,11000000,2022,"UFA"
"1599","wide-receiver","Sterling Shepard","Giants",25,41000000,10250000,21260624,16210624,2024,"UFA"
"1600","fullback","Chandler Cox","Dolphins",26.0725216234198,2610912,652728,90912,90912,2023,"UFA"
"1601","fullback","Nick Bawden","Lions",23,2544204,636051,84204,84204,2022,"UFA"
"1602","fullback","Andy Janovich","Broncos",26,2504308,626077,164308,164308,2020,"UFA"
"1603","fullback","Derek Watt","Chargers",27,2469680,617420,129680,129680,2020,"UFA"
"1604","fullback","Alex Armah","Panthers",25,2400000,600000,0,0,2021,"UFA"
"1605","fullback","Khari Blasingame","Vikings",23,1765000,588333,30000,30000,2022,"RFA"
"1606","cornerback","Joe Haden","Steelers",30,27000000,9000000,5750000,5750000,2020,"UFA"
"1607","cornerback","Prince Amukamara","Bears",30,27000000,9000000,18000000,18000000,2021,"UFA"
"1608","cornerback","Tavon Young","Ravens",25,25800000,8600000,13000000,13000000,2023,"UFA"
"1609","cornerback","Steven Nelson","Steelers",26,25500000,8500000,7500000,7500000,2022,"UFA"
"1610","cornerback","Aaron Colvin","Texans",28,34000000,8500000,18000000,18000000,2022,"UFA"
"1611","cornerback","T.J. Carrie","Browns",29,31000000,7750000,15500000,10000000,2022,"UFA"
"1612","cornerback","Pierre Desir","Colts",29,22500000,7500000,12000000,9000000,2022,"UFA"
"1613","4-3-outside-linebacker","Lerentee McCray","Jaguars",29,5500000,2750000,1500000,1500000,2020,"UFA"
"1614","4-3-outside-linebacker","Brandon King","Patriots",26,2600000,2600000,400000,400000,2020,"UFA"
"1615","4-3-outside-linebacker","Shaq Thompson","Panthers",25,8808726,2202181,7172535,7172535,2020,"UFA"
"1616","4-3-outside-linebacker","Craig Robertson","Saints",31,4100000,2050000,2300000,2300000,2021,"UFA"
"1617","4-3-outside-linebacker","Jamie Collins","Patriots",30,2000000,2000000,250000,250000,2020,"UFA"
"1618","4-3-outside-linebacker","Vontaze Burfict","Raiders",29,2000000,2000000,300000,300000,2020,"UFA"
"1619","safety","Tramon Williams","Packers",36,10000000,5000000,3250000,3250000,2020,"UFA"
"1620","safety","Shawn Williams","Bengals",28,19500000,4875000,4000000,4000000,2021,"UFA"
"1621","safety","D.J. Swearinger","Cardinals",28,13500000,4500000,9000000,6000000,2020,"UFA"
"1622","safety","Bradley McDougald","Seahawks",29,13500000,4500000,6500000,5500000,2021,"UFA"
"1623","safety","Duron Harmon","Patriots",28,17000000,4250000,6500000,6500000,2021,"UFA"
"1624","quarterback","Eli Manning","Giants",38,84000000,21000000,65000000,36500000,2020,"UFA"
"1625","quarterback","Philip Rivers","Chargers",38,83250000,20812500,65000000,37500000,2020,"UFA"
"1626","quarterback","Cam Newton","Panthers",30,103800000,20760000,60000000,41000000,2021,"UFA"
"1627","quarterback","Tom Brady","Patriots",42,41000000,20500000,30000000,28000000,2020,"UFA"
"1628","quarterback","Andy Dalton","Bengals",32,96000000,16000000,17000000,17000000,2021,"UFA"
"1629","quarterback","Kyler Murray","Cardinals",26.0725216234198,35158644,8789661,35158644,35158644,2023,"UFA"
"1630","punter","Trevor Daniel","Texans",25,1712000,570667,12000,12000,2021,"RFA"
"1631","punter","Austin Barnard","Titans",24,1712000,570667,2000,2000,2021,"RFA"
"1632","punter","Colby Wadman","Broncos",24,1710000,570000,0,0,2021,"RFA"
"1633","punter","Corey Bojorquez","Bills",23,1710000,570000,0,0,2021,"RFA"
"1634","punter","Rigoberto Sanchez","Colts",25,1677000,559000,12000,12000,2020,"RFA"
"1635","punter","Matt Haack","Dolphins",25,1669000,556333,4000,4000,2020,"RFA"
"1636","punter","Kasey Redfern","Cowboys",28,1080000,540000,0,0,2021,"RFA"
"1637","running-back","Tevin Coleman","49ers",26,8500000,4250000,5250000,3250000,2021,"UFA"
"1638","running-back","James White","Patriots",27,12000000,4000000,4690000,4690000,2021,"UFA"
"1639","running-back","Theo Riddick","Lions",28,11550000,3850000,3850000,3850000,2020,"UFA"
"1640","running-back","Latavius Murray","Saints",29,14400000,3600000,7200000,7200000,2023,"UFA"
"1641","running-back","Chris Thompson","Redskins",29,7000000,3500000,6496000,4500000,2020,"UFA"
"1642","linebacker","Daren Bates","Titans",29,6000000,2000000,1000000,1000000,2020,"UFA"
"1643","linebacker","L.J. Fort","Eagles",29,5500000,1833333,1900000,1900000,2022,"UFA"
"1644","linebacker","Jahlani Tavai","Lions",26.0725216234198,6893968,1723492,4337158,4337158,2023,"UFA"
"1645","linebacker","Jaylon Smith","Cowboys",24,6494972,1623743,4523682,4523682,2020,"RFA"
"1646","linebacker","Mark Nzeocha","49ers",29,4750000,1583333,1925000,1250000,2022,"UFA"
"1647","linebacker","Nick Dzubnar","Chargers",28,3050000,1525000,795000,795000,2020,"UFA"
"1648","tight-end","Neal Sterling","Jets",27,895000,895000,150000,150000,2020,"UFA"
"1649","tight-end","Jace Sternberger","Packers",26.0725216234198,3555820,888955,0,0,2020,"ERFA"
"1650","tight-end","Mark Andrews","Ravens",23,3453160,863290,836660,836660,2022,"UFA"
"1651","tight-end","Dawson Knox","Bills",26.0725216234198,3356784,839196,0,0,2020,"ERFA"
"1652","tight-end","Jordan Akins","Texans",27,3323516,830879,761516,761516,2022,"UFA"
"1653","tight-end","Trevon Wesco","Jets",26.0725216234198,3226572,806643,706572,706572,2023,"UFA"
"1654","tight-end","Orson Charles","Browns",28,805000,805000,0,0,2020,"UFA"
"1655","tight-end","Maxx Williams","Cardinals",25,805000,805000,250000,250000,2020,"UFA"
"1656","linebacker","Devin Bush","Steelers",26.0725216234198,18871768,4717942,18871768,18871768,2023,"UFA"
"1657","linebacker","Roquan Smith","Bears",22,18477166,4619292,18477166,18477166,2022,"UFA"
"1658","linebacker","Mychal Kendricks","Seahawks",29,4500000,4500000,0,0,2020,"UFA"
"1659","linebacker","Shaquil Barrett","Buccaneers",27,4000000,4000000,3000000,3000000,2020,"UFA"
"1660","linebacker","Jake Ryan","Jaguars",27,8000000,4000000,1000000,1000000,2021,"UFA"
"1661","defensive-back","Devin McCourty","Patriots",32,47500000,9500000,28500000,22000000,2020,"UFA"
"1662","defensive-back","Richard Sherman","49ers",31,27150000,9050000,3000000,3000000,2021,"UFA"
"1663","defensive-back","Justin Coleman","Lions",26,36000000,9000000,19000000,16000000,2023,"Void"
"1664","defensive-back","Joe Haden","Steelers",30,27000000,9000000,5750000,5750000,2020,"UFA"
"1665","defensive-back","Prince Amukamara","Bears",30,27000000,9000000,18000000,18000000,2021,"UFA"
"1666","defensive-back","Adrian Amos","Packers",26,36000000,9000000,12000000,12000000,2023,"UFA"
"1667","defensive-back","Malcolm Jenkins","Eagles",32,35000000,8750000,21000000,16000000,2021,"Void"
"1668","4-3-defensive-end","John Cominsky","Falcons",26.0725216234198,3008392,752098,488392,488392,2023,"UFA"
"1669","4-3-defensive-end","Shareef Miller","Eagles",26.0725216234198,3008392,752098,488392,488392,2023,"UFA"
"1670","4-3-defensive-end","Deatrich Wise","Patriots",25,2980560,745140,580560,580560,2021,"UFA"
"1671","4-3-defensive-end","Randy Gregory","Cowboys",27,735000,735000,310000,310000,2021,"UFA"
"1672","4-3-defensive-end","Ra¡¯Shede Hageman","Falcons",29,735000,735000,15000,15000,2020,"UFA"
"1673","4-3-defensive-end","Branden Jackson","Seahawks",27,720000,720000,0,0,2020,"RFA"
"1674","4-3-defensive-end","Joe Jackson","Cowboys",26.0725216234198,2806784,701696,286784,286784,2023,"UFA"
"1675","4-3-defensive-end","Jihad Ward","Colts",25,1350000,675000,0,0,2020,"UFA"
"1676","left-tackle","D.J. Coker","Texans",22,1760000,586667,13000,13000,2022,"RFA"
"1677","left-tackle","Brandon Knight","Cowboys",26.0725216234198,1760000,586667,55000,55000,2022,"RFA"
"1678","left-tackle","Calvin Anderson","Jets",23,1760000,586667,30000,30000,2022,"RFA"
"1679","left-tackle","Donnell Greene","Jaguars",26.0725216234198,1760000,586667,5000,5000,2022,"RFA"
"1680","left-tackle","Marcus Applefield","Ravens",24,1758000,586000,3000,3000,2022,"RFA"
"1681","left-tackle","Brian Fineanganofo","Browns",24,1758000,586000,3000,3000,2022,"RFA"
"1682","left-tackle","Tyler Roemer","Raiders",21,1757500,585833,2500,2500,2022,"RFA"
"1683","offensive-line","Zach Fulton","Texans",28,28000000,7000000,13000000,13000000,2022,"UFA"
"1684","offensive-line","Billy Turner","Packers",28,28000000,7000000,9000000,9000000,2023,"UFA"
"1685","offensive-line","Bryan Bulaga","Packers",30,33750000,6750000,8000000,8000000,2020,"UFA"
"1686","offensive-line","Mitchell Schwartz","Chiefs",30,33000000,6600000,15000000,12660000,2021,"UFA"
"1687","offensive-line","Greg Robinson","Browns",27,6500000,6500000,500000,500000,2020,"UFA"
"1688","edge-rusher","Tanoh Kpassagnon","Chiefs",25,4321218,1080305,2303296,2303296,2021,"UFA"
"1689","edge-rusher","Zach Allen","Cardinals",26.0725216234198,4293762,1073441,1142736,1142736,2023,"UFA"
"1690","edge-rusher","Jachai Polite","Jets",26.0725216234198,4265902,1066476,1122472,1122472,2023,"UFA"
"1691","edge-rusher","Pernell McPhee","Ravens",31,1030000,1030000,100000,100000,2020,"UFA"
"1692","edge-rusher","Lorenzo Carter","Giants",24,4083482,1020871,1049804,1049804,2022,"UFA"
"1693","edge-rusher","Chad Thomas","Browns",24,4082294,1020574,0,0,2022,"UFA"
"1694","edge-rusher","Kerry Hyder","Cowboys",28,1000000,1000000,300000,300000,2020,"UFA"
"1695","right-guard","Ross Reynolds","49ers",24,1757000,585667,35000,35000,2022,"RFA"
"1696","right-guard","Austin Droogsma","Giants",24,1755500,585167,500,500,2022,"RFA"
"1697","right-guard","Jordan Agasiva","Jaguars",22,1755000,585000,0,0,2022,"RFA"
"1698","right-guard","Micah St. Andrew","Lions",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1699","right-guard","Patrick Vahe","Ravens",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1700","right-guard","Chris Brown","Chargers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1701","right-guard","Koda Martin","Chargers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1702","center","Ryan Crozier","Broncos",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1703","center","Nate Trewyn","Buccaneers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1704","center","Tanner Volson","Chargers",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1705","center","Keegan Render","Eagles",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1706","center","Brandon Hitner","Rams",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1707","center","Vitas Hrynkiewicz","Rams",26.0725216234198,1755000,585000,0,0,2022,"RFA"
"1708","interior-defensive-line","Daniel McCullers","Steelers",27,2750000,1375000,250000,250000,2021,"UFA"
"1709","interior-defensive-line","Kyle Love","Panthers",33,1350000,1350000,200000,200000,2020,"UFA"
"1710","interior-defensive-line","A¡¯Shawn Robinson","Lions",24,5233638,1308410,3144173,3144173,2020,"UFA"
"1711","interior-defensive-line","DeMarcus Walker","Broncos",25,5073852,1268463,2990702,2990702,2021,"UFA"
"1712","interior-defensive-line","Brent Urban","Titans",28,1250000,1250000,250000,250000,2020,"UFA"
"1713","linebacker","Julian Stanford","Bills",29,3000000,1500000,550000,550000,2020,"UFA"
"1714","linebacker","Reggie Ragland","Chiefs",26,5841370,1460343,3613785,3613785,2020,"UFA"
"1715","linebacker","Uchenna Nwosu","Chargers",23,5759578,1439895,3490583,3490583,2022,"UFA"
"1716","linebacker","Kamalei Correa","Titans",25,5749638,1437410,3542903,3542903,2020,"UFA"
"1717","linebacker","Tyus Bowser","Ravens",24,5575506,1393877,3378326,3378326,2021,"UFA"
"1718","linebacker","Kyle Wilber","Raiders",30,2750000,1375000,1400000,1400000,2020,"UFA"
"1719","linebacker","Malcolm Smith","49ers",30,1350000,1350000,1000000,0,2020,"UFA"
"1720","4-3-defensive-tackle","Braxton Hoyett","Titans",25,1767500,589167,25000,25000,2022,"RFA"
"1721","4-3-defensive-tackle","Isaiah Mack","Titans",23,1767500,589167,27500,27500,2022,"RFA"
"1722","4-3-defensive-tackle","Kevin Givens","49ers",22,1767000,589000,37000,37000,2022,"RFA"
"1723","4-3-defensive-tackle","Daniel Wise","Cowboys",26.0725216234198,1765000,588333,100000,100000,2022,"RFA"
"1724","4-3-defensive-tackle","Ricky Walker","Cowboys",26.0725216234198,1760000,586667,50000,50000,2022,"RFA"
"1725","4-3-defensive-tackle","Jay-Tee Tiuli","Seahawks",23,1758000,586000,3000,3000,2022,"RFA"
"1726","4-3-defensive-tackle","Tito Odenigbo","Vikings",23,1757500,585833,2500,2500,2022,"RFA"
"1727","defensive-line","Mario Edwards","Saints",25,470000,2350000,950000,950000,2021,"UFA"
"1728","defensive-line","Kenny Clark","Packers",24,9361642,2340411,7635055,7635055,2021,"UFA"
"1729","defensive-line","Vinny Curry","Eagles",31,2250000,2250000,2000000,2000000,2020,"UFA"
"1730","defensive-line","Robert Nkemdiche","Cardinals",25,8600592,2150148,6977784,6977784,2020,"UFA"
"1731","defensive-line","Vernon Butler","Panthers",25,8396516,2099129,6801536,6801536,2020,"UFA"
"1732","left-guard","Aaron Stinnie","Titans",25,1715000,571667,5000,5000,2021,"RFA"
"1733","left-guard","Jamil Demby","Rams",23,1710000,570000,0,0,2021,"ERFA"
"1734","left-guard","Chad Slade","Giants",27,570000,570000,0,0,2020,"ERFA"
"1735","left-guard","Jordan Simmons","Seahawks",25,570000,570000,0,0,2020,"ERFA"
"1736","left-guard","Aaron Neary","Rams",27,570000,570000,0,0,2020,"ERFA"
"1737","left-guard","Brandon Thomas","Jaguars",28,1125000,562500,0,0,2020,"ERFA"
"1738","left-guard","Cole Boozer","Buccaneers",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"1739","kicker","Austin Seibert","Browns",26.0725216234198,2780456,695114,260456,260456,2023,"UFA"
"1740","kicker","Harrison Butker","Chiefs",24,645000,645000,0,0,2020,"RFA"
"1741","kicker","Jake Elliott","Eagles",24,645000,645000,0,0,2020,"RFA"
"1742","kicker","Aldrick Rosas","Giants",25,645000,645000,0,0,2020,"RFA"
"1743","kicker","Jason Sanders","Dolphins",24,2551200,637800,91200,91200,2022,"UFA"
"1744","kicker","Giorgio Tavecchio","Falcons",29,1200000,600000,0,0,2020,"RFA"
"1745","kicker","Zane Gonzalez","Cardinals",24,1200000,600000,0,0,2020,"RFA"
"1746","wide-receiver","Devin Funchess","Colts",25,10000000,10000000,7000000,7000000,2020,"UFA"
"1747","wide-receiver","Jamison Crowder","Jets",26,28500000,9500000,17000000,17000000,2022,"UFA"
"1748","wide-receiver","Golden Tate","Giants",31,37500000,9375000,22950000,22950000,2023,"UFA"
"1749","wide-receiver","Quincy Enunwa","Jets",27,36000000,9000000,20250000,9171412,2023,"UFA"
"1750","wide-receiver","DeSean Jackson","Eagles",33,27000000,9000000,15000000,13000000,2022,"Void"
"1751","fullback","George Aston","Broncos",23,1757000,585667,10000,10000,2022,"RFA"
"1752","fullback","Jakob Johnson","Patriots",25,1755000,585000,0,0,2022,"RFA"
"1753","fullback","Elijah Wellman","Redskins",26.0725216234198,1080000,540000,0,0,2021,"ERFA"
"1754","fullback","Ricky Ortiz","Falcons",25,1050000,525000,0,0,2020,"ERFA"
"1755","fullback","Ryan Yurachek","Raiders",23,495000,495000,0,0,2020,"ERFA"
"1756","fullback","Christopher Ezeala","Ravens",26.0725216234198,495000,495000,0,0,2020,"ERFA"
"1757","cornerback","Robert Alford","Cardinals",31,22500000,7500000,13450000,8950000,2022,"UFA"
"1758","cornerback","Denzel Ward","Browns",22,29165356,7291339,29165356,29165356,2022,"UFA"
"1759","cornerback","Bryce Callahan","Broncos",28,21000000,7000000,10000000,10000000,2022,"UFA"
"1760","cornerback","Bobby McCain","Dolphins",26,27000000,6750000,13000000,9982000,2023,"UFA"
"1761","cornerback","Ronald Darby","Eagles",25,6500000,6500000,4500000,4500000,2020,"Void"
"1762","cornerback","D.J. Hayden","Jaguars",29,19000000,6333333,9450000,0,2021,"UFA"
"1763","4-3-outside-linebacker","Darius Leonard","Colts",24,7247808,1811952,4828495,4828495,2022,"UFA"
"1764","4-3-outside-linebacker","Joe Thomas","Cowboys",28,3600000,1800000,600000,600000,2020,"UFA"
"1765","4-3-outside-linebacker","Myles Jack","Jaguars",24,6334438,1583610,3994793,3994793,2020,"UFA"
"1766","4-3-outside-linebacker","Ray-Ray Armstrong","Browns",28,1550000,1550000,400000,400000,2020,"UFA"
"1767","4-3-outside-linebacker","Uchenna Nwosu","Chargers",23,5759578,1439895,3490583,3490583,2022,"UFA"
"1768","4-3-outside-linebacker","Kyle Wilber","Raiders",30,2750000,1375000,1400000,1400000,2020,"UFA"
"1769","4-3-outside-linebacker","Malcolm Smith","49ers",30,1350000,1350000,1000000,0,2020,"UFA"
"1770","4-3-outside-linebacker","Jerome Baker","Dolphins",23,3809200,952300,975200,975200,2022,"UFA"
"1771","safety","Minkah Fitzpatrick","Dolphins",23,16447768,4111942,16447768,16447768,2022,"UFA"
"1772","safety","Daniel Sorensen","Chiefs",29,16000000,4000000,7940000,4690000,2021,"UFA"
"1773","safety","Rodney McLeod","Eagles",29,4000000,4000000,1500000,1500000,2020,"Void"
"1774","safety","Antoine Bethea","Giants",35,6500000,3250000,3225000,3225000,2021,"UFA"
"1775","safety","Morgan Burnett","Browns",30,7500000,3250000,3650000,3650000,2021,"UFA"
"1776","safety","Jordan Poyer","Bills",28,13000000,3250000,6000000,5000000,2021,"UFA"
"1777","quarterback","Baker Mayfield","Browns",24,32682980,8170745,32682980,32682980,2022,"UFA"
"1778","quarterback","Sam Darnold","Jets",22,30247694,7561924,30247694,30247694,2022,"UFA"
"1779","quarterback","Case Keenum","Redskins",31,7500000,7500000,7500000,7500000,2020,"UFA"
"1780","quarterback","Mitchell Trubisky","Bears",25,29032436,7258109,29032436,29032436,2021,"UFA"
"1781","quarterback","Teddy Bridgewater","Saints",27,7250000,7250000,7250000,7250000,2020,"Void"
"1782","quarterback","Ryan Tannehill","Titans",31,7000000,7000000,6750000,6750000,2020,"UFA"
